model,fold,protein,task,length,lbin,genus,new,matched
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,5,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,5,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,5,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,5,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,5,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,5,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,5,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,6,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,5,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,pep,7,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,propep,5,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,propep,5,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,propep,5,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,propep,5,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,propep,5,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,propep,10,10-14,Anthopleura,False,0
esmc6b_3di_zeroctrl,2,Q16992,propep,5,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,propep,10,10-14,Anthopleura,False,0
esmc6b_3di_zeroctrl,2,Q16992,propep,5,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,propep,5,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,propep,11,10-14,Anthopleura,False,0
esmc6b_3di_zeroctrl,2,Q16992,propep,12,10-14,Anthopleura,False,0
esmc6b_3di_zeroctrl,2,Q16992,propep,5,5-9,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q16992,propep,25,25-29,Anthopleura,False,1
esmc6b_3di_zeroctrl,2,Q18502,pep,7,5-9,Caenorhabditis,False,1
esmc6b_3di_zeroctrl,2,Q18502,pep,7,5-9,Caenorhabditis,False,1
esmc6b_3di_zeroctrl,2,Q18502,propep,44,40-44,Caenorhabditis,False,0
esmc6b_3di_zeroctrl,2,Q18502,propep,16,15-19,Caenorhabditis,False,1
esmc6b_3di_zeroctrl,2,Q1A3Q1,pep,15,15-19,Conus,False,0
esmc6b_3di_zeroctrl,2,Q1A3Q1,propep,35,35-39,Conus,False,0
esmc6b_3di_zeroctrl,2,Q1A3Q2,pep,14,10-14,Conus,False,0
esmc6b_3di_zeroctrl,2,Q1A3Q2,propep,35,35-39,Conus,False,0
esmc6b_3di_zeroctrl,2,Q1A3Q6,pep,15,15-19,Conus,False,0
esmc6b_3di_zeroctrl,2,Q1A3Q6,propep,35,35-39,Conus,False,0
esmc6b_3di_zeroctrl,2,Q1A3Q7,pep,19,15-19,Conus,False,1
esmc6b_3di_zeroctrl,2,Q1A3Q7,propep,27,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q1A3Q8,pep,12,10-14,Conus,False,0
esmc6b_3di_zeroctrl,2,Q1A3Q8,propep,35,35-39,Conus,False,0
esmc6b_3di_zeroctrl,2,Q1A3Q9,pep,14,10-14,Conus,False,0
esmc6b_3di_zeroctrl,2,Q1A3Q9,propep,35,35-39,Conus,False,0
esmc6b_3di_zeroctrl,2,Q1A3R0,pep,11,10-14,Conus,False,1
esmc6b_3di_zeroctrl,2,Q1A3R0,propep,26,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q1ACL6,propep,22,20-24,Chara,False,1
esmc6b_3di_zeroctrl,2,Q1ELT9,pep,25,25-29,Lachesana,False,1
esmc6b_3di_zeroctrl,2,Q1ELT9,propep,40,40-44,Lachesana,False,1
esmc6b_3di_zeroctrl,2,Q1ELU2,pep,20,20-24,Lachesana,False,1
esmc6b_3di_zeroctrl,2,Q1ELU2,propep,39,35-39,Lachesana,False,1
esmc6b_3di_zeroctrl,2,Q1ELU3,pep,20,20-24,Lachesana,False,1
esmc6b_3di_zeroctrl,2,Q1ELU3,propep,39,35-39,Lachesana,False,1
esmc6b_3di_zeroctrl,2,Q1ELV0,pep,34,30-34,Lachesana,False,0
esmc6b_3di_zeroctrl,2,Q1ELV0,propep,41,40-44,Lachesana,False,1
esmc6b_3di_zeroctrl,2,Q1G3I0,propep,25,25-29,Arabidopsis,False,1
esmc6b_3di_zeroctrl,2,Q1I8U1,propep,33,30-34,Pseudomonas,False,0
esmc6b_3di_zeroctrl,2,Q1KVV2,propep,9,5-9,Tetradesmus,False,1
esmc6b_3di_zeroctrl,2,Q1KXX6,propep,22,20-24,Helianthus,False,0
esmc6b_3di_zeroctrl,2,Q1L658,propep,20,20-24,Pseudonaja,False,1
esmc6b_3di_zeroctrl,2,Q1L658,propep,27,25-29,Pseudonaja,False,1
esmc6b_3di_zeroctrl,2,Q1L659,propep,20,20-24,Pseudonaja,False,1
esmc6b_3di_zeroctrl,2,Q1L777,pep,16,15-19,Conus,True,0
esmc6b_3di_zeroctrl,2,Q1PBD1,propep,16,15-19,Gloydius,False,0
esmc6b_3di_zeroctrl,2,Q1W694,propep,8,5-9,Loxosceles,False,1
esmc6b_3di_zeroctrl,2,Q1W695,propep,8,5-9,Loxosceles,False,1
esmc6b_3di_zeroctrl,2,Q1XDH0,propep,8,5-9,Pyropia,False,1
esmc6b_3di_zeroctrl,2,Q20EY3,propep,6,5-9,Oltmannsiellopsis,False,1
esmc6b_3di_zeroctrl,2,Q24049,pep,24,20-24,Drosophila,False,0
esmc6b_3di_zeroctrl,2,Q24049,pep,32,30-34,Drosophila,False,0
esmc6b_3di_zeroctrl,2,Q24049,propep,29,25-29,Drosophila,False,0
esmc6b_3di_zeroctrl,2,Q27441,pep,40,40-44,Aplysia,False,1
esmc6b_3di_zeroctrl,2,Q27441,pep,31,30-34,Aplysia,False,0
esmc6b_3di_zeroctrl,2,Q27J48,propep,8,5-9,Lachesis,False,0
esmc6b_3di_zeroctrl,2,Q27Q54,propep,5,5-9,Loxosceles,False,1
esmc6b_3di_zeroctrl,2,Q28106,propep,19,15-19,Bos,False,0
esmc6b_3di_zeroctrl,2,Q28198,propep,12,10-14,Bos,False,1
esmc6b_3di_zeroctrl,2,Q28278,pep,11,10-14,Canis,False,0
esmc6b_3di_zeroctrl,2,Q28278,propep,22,20-24,Canis,False,1
esmc6b_3di_zeroctrl,2,Q28315,pep,14,10-14,Capra,True,0
esmc6b_3di_zeroctrl,2,Q28315,propep,24,20-24,Capra,True,1
esmc6b_3di_zeroctrl,2,Q28380,pep,11,10-14,Equus,True,0
esmc6b_3di_zeroctrl,2,Q28380,propep,25,25-29,Equus,True,1
esmc6b_3di_zeroctrl,2,Q28661,pep,15,15-19,Oryctolagus,True,0
esmc6b_3di_zeroctrl,2,Q28661,propep,9,5-9,Oryctolagus,True,0
esmc6b_3di_zeroctrl,2,Q28896,pep,20,20-24,Canis,False,0
esmc6b_3di_zeroctrl,2,Q28896,propep,22,20-24,Canis,False,0
esmc6b_3di_zeroctrl,2,Q2EI26,propep,23,20-24,Deinagkistrodon,False,0
esmc6b_3di_zeroctrl,2,Q2F9P2,propep,40,40-44,Pan,False,1
esmc6b_3di_zeroctrl,2,Q2F9P4,propep,40,40-44,Pan,False,1
esmc6b_3di_zeroctrl,2,Q2I2R6,pep,19,15-19,Conus,False,0
esmc6b_3di_zeroctrl,2,Q2I2R6,propep,24,20-24,Conus,False,0
esmc6b_3di_zeroctrl,2,Q2I2R7,pep,17,15-19,Conus,False,1
esmc6b_3di_zeroctrl,2,Q2I2R7,propep,27,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q2I2R8,pep,16,15-19,Conus,False,1
esmc6b_3di_zeroctrl,2,Q2I2R8,propep,27,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q2L8Z0,propep,24,20-24,Gossypium,False,0
esmc6b_3di_zeroctrl,2,Q2MIB7,propep,24,20-24,Solanum,False,0
esmc6b_3di_zeroctrl,2,Q2MIK4,propep,24,20-24,Solanum,False,0
esmc6b_3di_zeroctrl,2,Q2PFV2,propep,9,5-9,Macaca,False,1
esmc6b_3di_zeroctrl,2,Q2PFV2,propep,19,15-19,Macaca,False,0
esmc6b_3di_zeroctrl,2,Q2PMS6,propep,24,20-24,Glycine,False,0
esmc6b_3di_zeroctrl,2,Q2RQ23,propep,13,10-14,Rhodospirillum,False,1
esmc6b_3di_zeroctrl,2,Q2V2G5,pep,10,10-14,Octopus,False,0
esmc6b_3di_zeroctrl,2,Q2V2G5,propep,21,20-24,Octopus,False,0
esmc6b_3di_zeroctrl,2,Q2VEJ3,propep,24,20-24,Solanum,False,0
esmc6b_3di_zeroctrl,2,Q2XQ09,propep,5,5-9,Loxosceles,False,1
esmc6b_3di_zeroctrl,2,Q31CR0,propep,9,5-9,Prochlorococcus,False,1
esmc6b_3di_zeroctrl,2,Q32LD3,propep,21,20-24,Bos,False,1
esmc6b_3di_zeroctrl,2,Q32RP3,propep,21,20-24,Zygnema,False,1
esmc6b_3di_zeroctrl,2,Q32RW6,propep,21,20-24,Staurastrum,False,1
esmc6b_3di_zeroctrl,2,Q33C56,propep,24,20-24,Nicotiana,False,0
esmc6b_3di_zeroctrl,2,Q3BAQ9,propep,24,20-24,Phalaenopsis,False,0
esmc6b_3di_zeroctrl,2,Q3C1G0,propep,24,20-24,Nicotiana,False,0
esmc6b_3di_zeroctrl,2,Q3E880,pep,13,10-14,Arabidopsis,False,1
esmc6b_3di_zeroctrl,2,Q3ECM0,pep,15,15-19,Arabidopsis,False,1
esmc6b_3di_zeroctrl,2,Q3ECM0,pep,15,15-19,Arabidopsis,False,1
esmc6b_3di_zeroctrl,2,Q3ECM0,propep,10,10-14,Arabidopsis,False,0
esmc6b_3di_zeroctrl,2,Q3ECM0,propep,6,5-9,Arabidopsis,False,1
esmc6b_3di_zeroctrl,2,Q3M4K0,propep,8,5-9,Trichormus,False,1
esmc6b_3di_zeroctrl,2,Q3T0P5,propep,23,20-24,Bos,False,1
esmc6b_3di_zeroctrl,2,Q3T0P5,propep,14,10-14,Bos,False,1
esmc6b_3di_zeroctrl,2,Q3YEE9,pep,11,10-14,Conus,False,1
esmc6b_3di_zeroctrl,2,Q3YEE9,propep,25,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q3YEG9,pep,15,15-19,Conus,False,1
esmc6b_3di_zeroctrl,2,Q3YEG9,propep,26,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q3YEH0,pep,11,10-14,Conus,False,1
esmc6b_3di_zeroctrl,2,Q3YEH0,propep,25,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q3YEH1,pep,15,15-19,Conus,False,1
esmc6b_3di_zeroctrl,2,Q3YEH1,propep,30,30-34,Conus,False,1
esmc6b_3di_zeroctrl,2,Q3YEH2,pep,12,10-14,Conus,False,1
esmc6b_3di_zeroctrl,2,Q3YEH2,propep,26,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q3YEH4,pep,14,10-14,Conus,False,1
esmc6b_3di_zeroctrl,2,Q3YEH4,propep,26,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q3YEH5,pep,15,15-19,Conus,False,1
esmc6b_3di_zeroctrl,2,Q3YEH5,propep,22,20-24,Conus,False,0
esmc6b_3di_zeroctrl,2,Q3YEH6,pep,11,10-14,Conus,False,1
esmc6b_3di_zeroctrl,2,Q3YEH6,propep,26,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q3YEH7,pep,12,10-14,Conus,False,1
esmc6b_3di_zeroctrl,2,Q3YEH7,propep,27,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q3ZD69,propep,15,15-19,Sus,False,0
esmc6b_3di_zeroctrl,2,Q3ZJ18,propep,7,5-9,Tupiella,False,1
esmc6b_3di_zeroctrl,2,Q41142,propep,30,30-34,Ricinus,False,0
esmc6b_3di_zeroctrl,2,Q43007,propep,46,45-50,Oryza,False,0
esmc6b_3di_zeroctrl,2,Q46HA2,propep,10,10-14,Prochlorococcus,False,1
esmc6b_3di_zeroctrl,2,Q49L15,propep,24,20-24,Eucalyptus,False,0
esmc6b_3di_zeroctrl,2,Q4G3C7,propep,8,5-9,Emiliania,False,1
esmc6b_3di_zeroctrl,2,Q4GWU5,pep,14,10-14,Helianthus,False,1
esmc6b_3di_zeroctrl,2,Q4GWU5,propep,14,10-14,Helianthus,False,1
esmc6b_3di_zeroctrl,2,Q4QXT9,propep,20,20-24,Tropidechis,False,1
esmc6b_3di_zeroctrl,2,Q4V3D2,propep,26,25-29,Arabidopsis,False,1
esmc6b_3di_zeroctrl,2,Q4VZQ0,propep,24,20-24,Cucumis,False,0
esmc6b_3di_zeroctrl,2,Q4ZFU1,propep,26,25-29,Loxosceles,True,1
esmc6b_3di_zeroctrl,2,Q4ZFU2,propep,26,25-29,Loxosceles,True,1
esmc6b_3di_zeroctrl,2,Q51822,propep,28,25-29,Porphyromonas,False,1
esmc6b_3di_zeroctrl,2,Q51825,propep,28,25-29,Porphyromonas,False,1
esmc6b_3di_zeroctrl,2,Q51826,propep,28,25-29,Porphyromonas,False,1
esmc6b_3di_zeroctrl,2,Q51827,propep,27,25-29,Porphyromonas,False,1
esmc6b_3di_zeroctrl,2,Q54LM2,propep,21,20-24,Dictyostelium,False,0
esmc6b_3di_zeroctrl,2,Q56P17,propep,22,20-24,Lactuca,False,0
esmc6b_3di_zeroctrl,2,Q56VR3,propep,18,15-19,Pseudonaja,False,1
esmc6b_3di_zeroctrl,2,Q56VR3,propep,28,25-29,Pseudonaja,False,0
esmc6b_3di_zeroctrl,2,Q589B1,propep,22,20-24,Silene,False,0
esmc6b_3di_zeroctrl,2,Q58L93,propep,20,20-24,Pseudechis,False,1
esmc6b_3di_zeroctrl,2,Q58L93,propep,28,25-29,Pseudechis,False,1
esmc6b_3di_zeroctrl,2,Q58L94,propep,20,20-24,Notechis,False,1
esmc6b_3di_zeroctrl,2,Q58L94,propep,28,25-29,Notechis,False,1
esmc6b_3di_zeroctrl,2,Q58L95,propep,20,20-24,Oxyuranus,False,1
esmc6b_3di_zeroctrl,2,Q58L95,propep,28,25-29,Oxyuranus,False,1
esmc6b_3di_zeroctrl,2,Q58L96,propep,20,20-24,Oxyuranus,False,1
esmc6b_3di_zeroctrl,2,Q58L96,propep,28,25-29,Oxyuranus,False,1
esmc6b_3di_zeroctrl,2,Q59L96,propep,24,20-24,Candida,False,1
esmc6b_3di_zeroctrl,2,Q59SG9,propep,22,20-24,Candida,False,1
esmc6b_3di_zeroctrl,2,Q59UP6,propep,20,20-24,Candida,False,1
esmc6b_3di_zeroctrl,2,Q59UT4,propep,20,20-24,Candida,False,1
esmc6b_3di_zeroctrl,2,Q59UT5,propep,25,25-29,Candida,False,1
esmc6b_3di_zeroctrl,2,Q59VW6,propep,19,15-19,Candida,False,0
esmc6b_3di_zeroctrl,2,Q5A1A9,propep,28,25-29,Candida,False,1
esmc6b_3di_zeroctrl,2,Q5AA33,propep,22,20-24,Candida,False,0
esmc6b_3di_zeroctrl,2,Q5ABW2,propep,22,20-24,Candida,False,1
esmc6b_3di_zeroctrl,2,Q5AFN8,propep,19,15-19,Candida,False,1
esmc6b_3di_zeroctrl,2,Q5AGC4,propep,23,20-24,Candida,False,1
esmc6b_3di_zeroctrl,2,Q5AHE8,propep,31,30-34,Candida,False,1
esmc6b_3di_zeroctrl,2,Q5AJY5,propep,21,20-24,Candida,False,1
esmc6b_3di_zeroctrl,2,Q5AK97,propep,23,20-24,Candida,False,1
esmc6b_3di_zeroctrl,2,Q5AMF7,propep,23,20-24,Candida,False,1
esmc6b_3di_zeroctrl,2,Q5CZK2,pep,27,25-29,Pan,False,1
esmc6b_3di_zeroctrl,2,Q5CZK2,pep,24,20-24,Pan,False,1
esmc6b_3di_zeroctrl,2,Q5CZK5,pep,24,20-24,Pan,False,1
esmc6b_3di_zeroctrl,2,Q5CZK5,pep,21,20-24,Pan,False,1
esmc6b_3di_zeroctrl,2,Q5DW47,pep,11,10-14,Apis,False,1
esmc6b_3di_zeroctrl,2,Q5DW47,pep,50,45-50,Apis,False,0
esmc6b_3di_zeroctrl,2,Q5DW47,propep,20,20-24,Apis,False,0
esmc6b_3di_zeroctrl,2,Q5F1N4,propep,11,10-14,Olivierus,False,0
esmc6b_3di_zeroctrl,2,Q5G8A6,pep,10,10-14,Tityus,True,0
esmc6b_3di_zeroctrl,2,Q5I4E5,propep,10,10-14,Conus,False,1
esmc6b_3di_zeroctrl,2,Q5I4E6,pep,47,45-50,Conus,False,1
esmc6b_3di_zeroctrl,2,Q5I4E6,propep,6,5-9,Conus,False,0
esmc6b_3di_zeroctrl,2,Q5IS54,propep,9,5-9,Pan,False,0
esmc6b_3di_zeroctrl,2,Q5IS54,propep,19,15-19,Pan,False,0
esmc6b_3di_zeroctrl,2,Q5IS99,propep,9,5-9,Saimiri,False,0
esmc6b_3di_zeroctrl,2,Q5IS99,propep,19,15-19,Saimiri,False,0
esmc6b_3di_zeroctrl,2,Q5R790,pep,28,25-29,Pongo,False,0
esmc6b_3di_zeroctrl,2,Q5R8J0,propep,12,10-14,Pongo,False,1
esmc6b_3di_zeroctrl,2,Q5SC59,pep,21,20-24,Arenicola,False,1
esmc6b_3di_zeroctrl,2,Q5SC60,pep,21,20-24,Arenicola,False,1
esmc6b_3di_zeroctrl,2,Q5SCX1,propep,16,15-19,Huperzia,False,1
esmc6b_3di_zeroctrl,2,Q5XUW8,propep,10,10-14,Bothrops,False,0
esmc6b_3di_zeroctrl,2,Q5Y4U4,propep,26,25-29,Agelena,False,1
esmc6b_3di_zeroctrl,2,Q60136,propep,31,30-34,Priestia,False,0
esmc6b_3di_zeroctrl,2,Q60431,propep,9,5-9,Mesocricetus,False,1
esmc6b_3di_zeroctrl,2,Q60431,propep,19,15-19,Mesocricetus,False,0
esmc6b_3di_zeroctrl,2,Q61330,propep,26,25-29,Mus,False,1
esmc6b_3di_zeroctrl,2,Q624D2,propep,19,15-19,Caenorhabditis,False,1
esmc6b_3di_zeroctrl,2,Q62682,propep,26,25-29,Rattus,False,1
esmc6b_3di_zeroctrl,2,Q62845,propep,26,25-29,Rattus,False,1
esmc6b_3di_zeroctrl,2,Q63064,pep,47,45-50,Rattus,False,0
esmc6b_3di_zeroctrl,2,Q63064,propep,26,25-29,Rattus,False,1
esmc6b_3di_zeroctrl,2,Q63198,propep,20,20-24,Rattus,False,0
esmc6b_3di_zeroctrl,2,Q63207,propep,20,20-24,Rattus,False,1
esmc6b_3di_zeroctrl,2,Q63207,propep,48,45-50,Rattus,False,0
esmc6b_3di_zeroctrl,2,Q634M0,propep,15,15-19,Bacillus,False,0
esmc6b_3di_zeroctrl,2,Q64389,pep,24,20-24,Mus,False,0
esmc6b_3di_zeroctrl,2,Q64389,propep,27,25-29,Mus,False,1
esmc6b_3di_zeroctrl,2,Q65H47,propep,16,15-19,Bacillus,False,0
esmc6b_3di_zeroctrl,2,Q68IP5,pep,12,10-14,Conus,True,1
esmc6b_3di_zeroctrl,2,Q68IP5,propep,26,25-29,Conus,True,1
esmc6b_3di_zeroctrl,2,Q68LC0,propep,35,35-39,Rhinopithecus,False,0
esmc6b_3di_zeroctrl,2,Q68S23,propep,24,20-24,Panax,False,0
esmc6b_3di_zeroctrl,2,Q68Y22,pep,36,35-39,Myrmecia,False,1
esmc6b_3di_zeroctrl,2,Q68Y22,propep,27,25-29,Myrmecia,False,0
esmc6b_3di_zeroctrl,2,Q698K8,propep,16,15-19,Gloydius,True,0
esmc6b_3di_zeroctrl,2,Q69Z26,propep,26,25-29,Mus,False,1
esmc6b_3di_zeroctrl,2,Q6B8V0,propep,8,5-9,Gracilaria,False,1
esmc6b_3di_zeroctrl,2,Q6ENJ4,propep,24,20-24,Oryza,False,0
esmc6b_3di_zeroctrl,2,Q6ENY5,propep,24,20-24,Saccharum,False,0
esmc6b_3di_zeroctrl,2,Q6EW65,propep,24,20-24,Nymphaea,False,0
esmc6b_3di_zeroctrl,2,Q6GUL6,propep,35,35-39,Panthera,False,0
esmc6b_3di_zeroctrl,2,Q6HDK0,propep,15,15-19,Bacillus,False,0
esmc6b_3di_zeroctrl,2,Q6IVA5,propep,35,35-39,Ailurus,False,0
esmc6b_3di_zeroctrl,2,Q6IWB1,pep,12,10-14,Arabidopsis,False,1
esmc6b_3di_zeroctrl,2,Q6JLX1,propep,35,35-39,Ailuropoda,False,0
esmc6b_3di_zeroctrl,2,Q6JQN2,pep,13,10-14,Olivierus,False,1
esmc6b_3di_zeroctrl,2,Q6JQN2,propep,31,30-34,Olivierus,False,1
esmc6b_3di_zeroctrl,2,Q6L3B3,propep,24,20-24,Saccharum,False,0
esmc6b_3di_zeroctrl,2,Q6M0N7,propep,8,5-9,Methanococcus,True,1
esmc6b_3di_zeroctrl,2,Q6NKW9,propep,26,25-29,Arabidopsis,False,1
esmc6b_3di_zeroctrl,2,Q6PN80,pep,14,10-14,Conus,False,0
esmc6b_3di_zeroctrl,2,Q6PN80,propep,35,35-39,Conus,False,0
esmc6b_3di_zeroctrl,2,Q6PN81,pep,15,15-19,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PN81,propep,28,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PN82,pep,12,10-14,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PN82,propep,29,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PN83,pep,13,10-14,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PN83,propep,29,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PN84,pep,15,15-19,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PN84,propep,29,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PN85,pep,15,15-19,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PN85,propep,29,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PN86,pep,14,10-14,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PN86,propep,29,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PPB3,pep,21,20-24,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PPB3,propep,25,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PTD1,pep,16,15-19,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PTD1,propep,27,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PTD4,pep,16,15-19,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PTD4,propep,27,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PTD5,pep,17,15-19,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PTD5,propep,27,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PTD6,pep,14,10-14,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PTD6,propep,27,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PTD7,pep,21,20-24,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6PTD7,propep,25,25-29,Conus,False,1
esmc6b_3di_zeroctrl,2,Q6RY98,pep,24,20-24,Atractaspis,True,0
esmc6b_3di_zeroctrl,2,Q6RY98,pep,24,20-24,Atractaspis,True,0
esmc6b_3di_zeroctrl,2,Q6RY98,pep,24,20-24,Atractaspis,True,0
esmc6b_3di_zeroctrl,2,Q6RY98,pep,24,20-24,Atractaspis,True,0
esmc6b_3di_zeroctrl,2,Q6RY98,pep,24,20-24,Atractaspis,True,0
esmc6b_3di_zeroctrl,2,Q6RY98,pep,24,20-24,Atractaspis,True,0
esmc6b_3di_zeroctrl,2,Q6RY98,pep,24,20-24,Atractaspis,True,0
esmc6b_3di_zeroctrl,2,Q6RY98,propep,24,20-24,Atractaspis,True,0
esmc6b_3di_zeroctrl,2,Q6RY98,propep,24,20-24,Atractaspis,True,0
esmc6b_3di_zeroctrl,2,Q6RY98,propep,24,20-24,Atractaspis,True,0
esmc6b_3di_zeroctrl,2,Q6RY98,propep,24,20-24,Atractaspis,True,0
esmc6b_3di_zeroctrl,2,Q6RY98,propep,24,20-24,Atractaspis,True,0
esmc6b_3di_zeroctrl,2,Q6RY98,propep,24,20-24,Atractaspis,True,0
esmc6b_3di_zeroctrl,2,Q6RY98,propep,24,20-24,Atractaspis,True,0
esmc6b_3di_zeroctrl,2,Q6RY98,propep,10,10-14,Atractaspis,True,1
esmc6b_3di_zeroctrl,2,Q6SA95,propep,21,20-24,Felis,False,1
esmc6b_3di_zeroctrl,2,Q6SA95,propep,39,35-39,Felis,False,0
esmc6b_3di_zeroctrl,2,Q6T271,propep,15,15-19,Bitis,True,0
esmc6b_3di_zeroctrl,2,Q6UWN0,propep,21,20-24,Homo,False,1
esmc6b_3di_zeroctrl,2,Q6YXN4,propep,21,20-24,Physcomitrium,False,1
esmc6b_3di_zeroctrl,2,Q70XC3,pep,13,10-14,Spodoptera,False,1
esmc6b_3di_zeroctrl,2,Q70XC3,propep,15,15-19,Spodoptera,False,0
esmc6b_3di_zeroctrl,2,Q70Y14,propep,24,20-24,Amborella,False,0
esmc6b_3di_zeroctrl,2,Q730L4,propep,15,15-19,Bacillus,False,0
esmc6b_3di_zeroctrl,2,Q79AV1,propep,8,5-9,Synechococcus,False,1
esmc6b_3di_zeroctrl,2,Q7M6Z0,propep,22,20-24,Mus,False,1
esmc6b_3di_zeroctrl,2,Q7SZD9,propep,24,20-24,Gloydius,False,0
esmc6b_3di_zeroctrl,2,Q7SZE0,propep,24,20-24,Gloydius,False,0
