model,fold,protein,task,tp,fn,fp
esmc6b_3di_zeroctrl,5,B1P1I4,propep,1,0,0
esmc6b_3di_zeroctrl,5,B1P1I5,pep,0,0,0
esmc6b_3di_zeroctrl,5,B1P1I5,propep,1,0,0
esmc6b_3di_zeroctrl,5,B1P1I6,pep,0,0,0
esmc6b_3di_zeroctrl,5,B1P1I6,propep,1,0,0
esmc6b_3di_zeroctrl,5,B1VAF3,pep,0,0,0
esmc6b_3di_zeroctrl,5,B1VAF3,propep,1,0,0
esmc6b_3di_zeroctrl,5,B1XF62,pep,0,0,0
esmc6b_3di_zeroctrl,5,B1XF62,propep,0,1,0
esmc6b_3di_zeroctrl,5,B1YJS1,pep,0,0,1
esmc6b_3di_zeroctrl,5,B1YJS1,propep,1,0,0
esmc6b_3di_zeroctrl,5,B2A6B5,pep,0,0,0
esmc6b_3di_zeroctrl,5,B2A6B5,propep,1,0,0
esmc6b_3di_zeroctrl,5,B2G856,pep,0,0,0
esmc6b_3di_zeroctrl,5,B2G856,propep,1,0,0
esmc6b_3di_zeroctrl,5,B2GD71,pep,0,0,0
esmc6b_3di_zeroctrl,5,B2GD71,propep,1,0,0
esmc6b_3di_zeroctrl,5,B2IQ02,pep,0,0,1
esmc6b_3di_zeroctrl,5,B2IQ02,propep,1,0,0
esmc6b_3di_zeroctrl,5,B2KAB7,pep,0,0,0
esmc6b_3di_zeroctrl,5,B2KAB7,propep,0,1,1
esmc6b_3di_zeroctrl,5,B2MW54,pep,0,0,0
esmc6b_3di_zeroctrl,5,B2MW54,propep,1,0,0
esmc6b_3di_zeroctrl,5,B2RH57,pep,0,0,0
esmc6b_3di_zeroctrl,5,B2RH57,propep,1,0,0
esmc6b_3di_zeroctrl,5,B2TK69,pep,0,0,1
esmc6b_3di_zeroctrl,5,B2TK69,propep,1,0,0
esmc6b_3di_zeroctrl,5,B2V0A7,pep,0,0,1
esmc6b_3di_zeroctrl,5,B2V0A7,propep,1,0,0
esmc6b_3di_zeroctrl,5,B2ZB95,pep,2,1,0
esmc6b_3di_zeroctrl,5,B2ZB95,propep,0,2,0
esmc6b_3di_zeroctrl,5,B2ZB96,pep,2,1,0
esmc6b_3di_zeroctrl,5,B2ZB96,propep,0,2,0
esmc6b_3di_zeroctrl,5,B2ZB98,pep,2,1,0
esmc6b_3di_zeroctrl,5,B2ZB98,propep,0,2,0
esmc6b_3di_zeroctrl,5,B2ZB99,pep,2,1,0
esmc6b_3di_zeroctrl,5,B2ZB99,propep,0,2,0
esmc6b_3di_zeroctrl,5,B2ZBA0,pep,2,1,0
esmc6b_3di_zeroctrl,5,B2ZBA0,propep,0,2,0
esmc6b_3di_zeroctrl,5,B2ZBA1,pep,2,1,0
esmc6b_3di_zeroctrl,5,B2ZBA1,propep,0,2,0
esmc6b_3di_zeroctrl,5,B3EWM3,pep,0,1,1
esmc6b_3di_zeroctrl,5,B3EWM3,propep,0,0,0
esmc6b_3di_zeroctrl,5,B3FIN4,pep,0,0,0
esmc6b_3di_zeroctrl,5,B3FIN4,propep,1,0,0
esmc6b_3di_zeroctrl,5,B3FIS2,pep,0,0,1
esmc6b_3di_zeroctrl,5,B3FIS2,propep,1,0,0
esmc6b_3di_zeroctrl,5,B3FIS3,pep,0,0,1
esmc6b_3di_zeroctrl,5,B3FIS3,propep,1,0,0
esmc6b_3di_zeroctrl,5,B3FIS4,pep,0,0,1
esmc6b_3di_zeroctrl,5,B3FIS4,propep,1,0,0
esmc6b_3di_zeroctrl,5,B3H587,pep,0,0,0
esmc6b_3di_zeroctrl,5,B3H587,propep,1,0,0
esmc6b_3di_zeroctrl,5,B3H5Q2,pep,1,0,0
esmc6b_3di_zeroctrl,5,B3H5Q2,propep,0,0,0
esmc6b_3di_zeroctrl,5,B3QZT2,pep,0,0,1
esmc6b_3di_zeroctrl,5,B3QZT2,propep,1,0,0
esmc6b_3di_zeroctrl,5,B4THR7,pep,0,0,1
esmc6b_3di_zeroctrl,5,B4THR7,propep,0,1,0
esmc6b_3di_zeroctrl,5,B5E4L9,pep,0,0,1
esmc6b_3di_zeroctrl,5,B5E4L9,propep,1,0,0
esmc6b_3di_zeroctrl,5,B5ZB18,pep,0,0,1
esmc6b_3di_zeroctrl,5,B5ZB18,propep,1,0,0
esmc6b_3di_zeroctrl,5,B6DD59,pep,0,0,0
esmc6b_3di_zeroctrl,5,B6DD59,propep,1,0,0
esmc6b_3di_zeroctrl,5,B6IB31,pep,0,0,1
esmc6b_3di_zeroctrl,5,B6IB31,propep,0,1,0
esmc6b_3di_zeroctrl,5,B7GIR0,pep,0,0,1
esmc6b_3di_zeroctrl,5,B7GIR0,propep,1,0,0
esmc6b_3di_zeroctrl,5,B7HE75,pep,0,0,1
esmc6b_3di_zeroctrl,5,B7HE75,propep,1,0,0
esmc6b_3di_zeroctrl,5,B7HQK0,pep,0,0,1
esmc6b_3di_zeroctrl,5,B7HQK0,propep,1,0,0
esmc6b_3di_zeroctrl,5,B7IIV4,pep,0,0,1
esmc6b_3di_zeroctrl,5,B7IIV4,propep,1,0,0
esmc6b_3di_zeroctrl,5,B7JQ28,pep,0,0,1
esmc6b_3di_zeroctrl,5,B7JQ28,propep,1,0,0
esmc6b_3di_zeroctrl,5,B7L5E9,pep,0,0,1
esmc6b_3di_zeroctrl,5,B7L5E9,propep,0,1,0
esmc6b_3di_zeroctrl,5,B7LZY9,pep,0,0,1
esmc6b_3di_zeroctrl,5,B7LZY9,propep,0,1,0
esmc6b_3di_zeroctrl,5,B7M9V0,pep,0,0,0
esmc6b_3di_zeroctrl,5,B7M9V0,propep,0,1,1
esmc6b_3di_zeroctrl,5,B7MV44,pep,0,0,1
esmc6b_3di_zeroctrl,5,B7MV44,propep,0,1,0
esmc6b_3di_zeroctrl,5,B7NB47,pep,0,0,0
esmc6b_3di_zeroctrl,5,B7NB47,propep,0,1,1
esmc6b_3di_zeroctrl,5,B7NUP2,pep,0,0,0
esmc6b_3di_zeroctrl,5,B7NUP2,propep,0,1,1
esmc6b_3di_zeroctrl,5,B7URT6,pep,0,0,0
esmc6b_3di_zeroctrl,5,B7URT6,propep,0,1,0
esmc6b_3di_zeroctrl,5,B8DHK8,pep,0,0,1
esmc6b_3di_zeroctrl,5,B8DHK8,propep,1,0,0
esmc6b_3di_zeroctrl,5,B8FUS1,pep,0,0,1
esmc6b_3di_zeroctrl,5,B8FUS1,propep,1,0,0
esmc6b_3di_zeroctrl,5,B8I178,pep,0,0,1
esmc6b_3di_zeroctrl,5,B8I178,propep,1,0,0
esmc6b_3di_zeroctrl,5,B8K1V9,pep,0,1,2
esmc6b_3di_zeroctrl,5,B8K1V9,propep,1,1,1
esmc6b_3di_zeroctrl,5,B8ZPV1,pep,0,0,1
esmc6b_3di_zeroctrl,5,B8ZPV1,propep,1,0,0
esmc6b_3di_zeroctrl,5,B9DNE8,pep,0,0,1
esmc6b_3di_zeroctrl,5,B9DNE8,propep,1,0,0
esmc6b_3di_zeroctrl,5,B9DU56,pep,0,0,1
esmc6b_3di_zeroctrl,5,B9DU56,propep,1,0,0
esmc6b_3di_zeroctrl,5,B9E020,pep,0,0,1
esmc6b_3di_zeroctrl,5,B9E020,propep,1,0,0
esmc6b_3di_zeroctrl,5,B9ENM6,pep,0,0,0
esmc6b_3di_zeroctrl,5,B9ENM6,propep,1,0,0
esmc6b_3di_zeroctrl,5,B9IZ18,pep,0,0,1
esmc6b_3di_zeroctrl,5,B9IZ18,propep,1,0,0
esmc6b_3di_zeroctrl,5,B9MRB7,pep,0,0,0
esmc6b_3di_zeroctrl,5,B9MRB7,propep,1,0,0
esmc6b_3di_zeroctrl,5,B9TQX1,pep,0,0,0
esmc6b_3di_zeroctrl,5,B9TQX1,propep,1,0,0
esmc6b_3di_zeroctrl,5,B9TQX2,pep,0,0,0
esmc6b_3di_zeroctrl,5,B9TQX2,propep,1,0,0
esmc6b_3di_zeroctrl,5,B9TQX3,pep,0,0,0
esmc6b_3di_zeroctrl,5,B9TQX3,propep,1,0,0
esmc6b_3di_zeroctrl,5,B9TQX4,pep,0,0,0
esmc6b_3di_zeroctrl,5,B9TQX4,propep,0,1,1
esmc6b_3di_zeroctrl,5,C0HJK2,pep,1,0,0
esmc6b_3di_zeroctrl,5,C0HJK2,propep,0,0,0
esmc6b_3di_zeroctrl,5,C0HJK4,pep,1,0,0
esmc6b_3di_zeroctrl,5,C0HJK4,propep,0,0,0
esmc6b_3di_zeroctrl,5,C0HK27,pep,0,0,0
esmc6b_3di_zeroctrl,5,C0HK27,propep,0,2,0
esmc6b_3di_zeroctrl,5,C0HKS3,pep,0,1,2
esmc6b_3di_zeroctrl,5,C0HKS3,propep,0,2,1
esmc6b_3di_zeroctrl,5,C0HKS5,pep,0,1,2
esmc6b_3di_zeroctrl,5,C0HKS5,propep,0,2,1
esmc6b_3di_zeroctrl,5,C0HKU2,pep,1,0,0
esmc6b_3di_zeroctrl,5,C0HKU2,propep,0,0,0
esmc6b_3di_zeroctrl,5,C0HL17,pep,3,2,2
esmc6b_3di_zeroctrl,5,C0HL17,propep,1,1,2
esmc6b_3di_zeroctrl,5,C0M7I0,pep,0,0,1
esmc6b_3di_zeroctrl,5,C0M7I0,propep,1,0,0
esmc6b_3di_zeroctrl,5,C0ME76,pep,0,0,1
esmc6b_3di_zeroctrl,5,C0ME76,propep,1,0,0
esmc6b_3di_zeroctrl,5,C1BJ98,pep,0,0,0
esmc6b_3di_zeroctrl,5,C1BJ98,propep,1,0,0
esmc6b_3di_zeroctrl,5,C1C7A1,pep,0,0,1
esmc6b_3di_zeroctrl,5,C1C7A1,propep,1,0,0
esmc6b_3di_zeroctrl,5,C1CE94,pep,0,0,1
esmc6b_3di_zeroctrl,5,C1CE94,propep,1,0,0
esmc6b_3di_zeroctrl,5,C1CKH0,pep,0,0,1
esmc6b_3di_zeroctrl,5,C1CKH0,propep,1,0,0
esmc6b_3di_zeroctrl,5,C1CRK7,pep,0,0,1
esmc6b_3di_zeroctrl,5,C1CRK7,propep,1,0,0
esmc6b_3di_zeroctrl,5,C1ETN9,pep,0,0,1
esmc6b_3di_zeroctrl,5,C1ETN9,propep,1,0,0
esmc6b_3di_zeroctrl,5,C1FVW6,pep,0,0,1
esmc6b_3di_zeroctrl,5,C1FVW6,propep,1,0,0
esmc6b_3di_zeroctrl,5,C1KVI7,pep,0,0,1
esmc6b_3di_zeroctrl,5,C1KVI7,propep,1,0,0
esmc6b_3di_zeroctrl,5,C3L3J4,pep,0,0,1
esmc6b_3di_zeroctrl,5,C3L3J4,propep,1,0,0
esmc6b_3di_zeroctrl,5,C3L6X4,pep,0,0,1
esmc6b_3di_zeroctrl,5,C3L6X4,propep,1,0,0
esmc6b_3di_zeroctrl,5,C3P9C8,pep,0,0,1
esmc6b_3di_zeroctrl,5,C3P9C8,propep,1,0,0
esmc6b_3di_zeroctrl,5,C4L4N3,pep,0,0,1
esmc6b_3di_zeroctrl,5,C4L4N3,propep,1,0,0
esmc6b_3di_zeroctrl,5,C4YMJ3,pep,0,0,0
esmc6b_3di_zeroctrl,5,C4YMJ3,propep,1,0,0
esmc6b_3di_zeroctrl,5,C4YNQ5,pep,0,0,0
esmc6b_3di_zeroctrl,5,C4YNQ5,propep,1,0,0
esmc6b_3di_zeroctrl,5,C4YSF6,pep,0,0,0
esmc6b_3di_zeroctrl,5,C4YSF6,propep,1,0,0
esmc6b_3di_zeroctrl,5,C4Z9Z8,pep,0,0,1
esmc6b_3di_zeroctrl,5,C4Z9Z8,propep,1,0,0
esmc6b_3di_zeroctrl,5,C4ZY59,pep,0,0,0
esmc6b_3di_zeroctrl,5,C4ZY59,propep,0,1,0
esmc6b_3di_zeroctrl,5,C5D5G7,pep,0,0,1
esmc6b_3di_zeroctrl,5,C5D5G7,propep,1,0,0
esmc6b_3di_zeroctrl,5,C6EVG7,pep,1,4,3
esmc6b_3di_zeroctrl,5,C6EVG7,propep,0,5,0
esmc6b_3di_zeroctrl,5,C6Y4B5,pep,0,0,0
esmc6b_3di_zeroctrl,5,C6Y4B5,propep,0,1,0
esmc6b_3di_zeroctrl,5,D0PX84,pep,0,0,1
esmc6b_3di_zeroctrl,5,D0PX84,propep,1,0,0
esmc6b_3di_zeroctrl,5,D0PX85,pep,0,0,1
esmc6b_3di_zeroctrl,5,D0PX85,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1X9,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1X9,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y0,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y0,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y1,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y1,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y2,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y2,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y3,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y3,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y4,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y4,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y5,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y5,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y6,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y6,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y7,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y7,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y8,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y8,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y9,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Y9,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Z0,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Z0,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Z2,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Z2,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Z4,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Z4,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Z5,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Z5,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Z6,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Z6,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Z7,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Z7,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Z8,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Z8,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Z9,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y1Z9,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y200,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y200,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y201,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y201,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y202,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y202,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y203,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y203,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y232,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y232,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y233,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y233,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y236,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y236,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y237,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y237,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y238,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y238,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y239,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y239,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y240,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y240,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y241,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y241,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y242,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y242,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y243,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y243,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y244,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y244,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y245,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y245,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y246,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y246,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y247,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y247,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y248,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y248,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y249,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y249,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y250,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y250,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y251,pep,0,0,0
esmc6b_3di_zeroctrl,5,D2Y251,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y252,pep,0,0,0
esmc6b_3di_zeroctrl,5,D2Y252,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A0,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A0,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A1,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A1,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A2,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A2,propep,0,1,1
esmc6b_3di_zeroctrl,5,D2Y2A3,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A3,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A4,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A4,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A5,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A5,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A6,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A6,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A7,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A7,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A8,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A8,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A9,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2A9,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2B0,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2B0,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2B1,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2B1,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2B2,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2B2,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2B3,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2B3,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2B4,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2B4,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2B5,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2B5,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2B6,pep,0,0,0
esmc6b_3di_zeroctrl,5,D2Y2B6,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2B7,pep,0,0,0
esmc6b_3di_zeroctrl,5,D2Y2B7,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2B8,pep,0,0,0
esmc6b_3di_zeroctrl,5,D2Y2B8,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2B9,pep,0,0,0
esmc6b_3di_zeroctrl,5,D2Y2B9,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2C1,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2C1,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2D2,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2D2,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2D7,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2D7,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2D8,pep,0,0,0
esmc6b_3di_zeroctrl,5,D2Y2D8,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2D9,pep,0,0,0
esmc6b_3di_zeroctrl,5,D2Y2D9,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2E8,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2E8,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2E9,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2E9,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2F0,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2F0,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2F1,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2F1,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2G3,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2G3,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2G4,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2G4,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2G5,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2G5,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2G6,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2G6,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2G7,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2G7,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2G8,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2G8,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2G9,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2G9,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2H1,pep,0,0,0
esmc6b_3di_zeroctrl,5,D2Y2H1,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2H2,pep,0,0,0
esmc6b_3di_zeroctrl,5,D2Y2H2,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2H3,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2H3,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2H4,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2H4,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2H5,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2H5,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2H6,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2H6,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2H7,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2H7,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2H8,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2H8,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2I3,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2I3,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2I5,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2I5,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2I6,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2I6,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2L5,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2L5,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M0,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M0,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M1,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M1,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M2,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M2,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M3,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M3,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M4,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M4,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M5,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M5,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M6,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M6,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M8,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M8,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M9,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2M9,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2N0,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2N0,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2N1,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2N1,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2N2,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2N2,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2N3,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2N3,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2N4,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2N4,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2N5,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2N5,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2N6,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2N6,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2N7,pep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2N7,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2N9,pep,0,0,0
esmc6b_3di_zeroctrl,5,D2Y2N9,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2P0,pep,0,0,0
esmc6b_3di_zeroctrl,5,D2Y2P0,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2P1,pep,0,0,0
esmc6b_3di_zeroctrl,5,D2Y2P1,propep,1,0,0
esmc6b_3di_zeroctrl,5,D2Y2P2,pep,0,0,0
esmc6b_3di_zeroctrl,5,D2Y2P2,propep,1,0,0
esmc6b_3di_zeroctrl,5,D3ZTT2,pep,0,0,0
esmc6b_3di_zeroctrl,5,D3ZTT2,propep,1,0,0
